3,default,deu lhe o ,1,1,1,,,,1,,,,,rel,tot,rel std,tot std
3,default,deu nos o ,1,1,1,,,,1,,,,3,1,1,0,0
3,default,disse me o ,1,1,1,,,,1,,,,4,0.7631578947,0.6315789474,0.3278050341,0.4955946278
3,non-operator adverb,ontem vi te ,1,1,1,,,,1,,,,5,0.5555555556,0.2777777778,0.3399346342,0.460888599
3,fronted focus,nada me deram ,1,1,1,,,,1,,,,6,0.4444444444,0,0.2204792759,0
3,undefined-subject,alguem me ajudou ,1,1,1,,,,1,,,,,,,,
3,undefined-subject,ninguem o ajudou ,1,1,1,,,,1,,,,,,,,
3,undefined-subject,alguem as ofereceu ,1,1,1,,,,1,,,,,,,,
4,default,a maria viu o ,1,1,,1,,,,1,,,,,,,
4,default,tu compras o bolo ,1,1,,1,,,,1,,,,,,,
4,fronted focus,isso lhe disse eu ,1,1,,1,,,,1,,,,,,,
4,fronted topic (comma),disse ,0.25,0,,0.25,,,,0,,,,,,,
4,default,penso ,0.25,0,,0.25,,,,0,,,,,,,
3,wh question,o_que lhes contaste ,1,1,1,,,,1,,,,,,,,
3,default,contaste lhes o_que ,1,1,1,,,,1,,,,,,,,
3,wh question,a_quem os entregaste ,1,1,1,,,,1,,,,,,,,
4,default,possivel ,0.25,0,,0.25,,,,0,,,,,,,
4,default,telefonou lhe o paulo ,1,1,,1,,,,1,,,,,,,
4,default,o paulo telefonou lhe ,1,1,,1,,,,1,,,,,,,
4,default,os rapazes ajudaram me ,1,1,,1,,,,1,,,,,,,
4,downward quantifier,muitos rapazes ,0.5,0,,0.5,,,,0,,,,,,,
4,downward quantifier,poucos rapazes me ajudaram ,1,1,,1,,,,1,,,,,,,
4,default,alguns rapazes ajudaram me ,1,1,,1,,,,1,,,,,,,
4,default,muitos rapazes ajudaram me ,1,1,,1,,,,1,,,,,,,
4,downward quantifier,poucos alunos lhe telefonaram ,1,1,,1,,,,1,,,,,,,
4,default,alguns alunos telefonaram lhe ,1,1,,1,,,,1,,,,,,,
4,exception,alguns alunos ,0.5,0,,0.5,,,,0,,,,,,,
4,wh question,quantos presentes te ofereceram ,1,1,,1,,,,1,,,,,,,
4,exception,alguns rapazes ,0.5,0,,0.5,,,,0,,,,,,,
5,default,poe os em a rua ,1,1,,,1,,,,1,,,,,,
5,negation,a maria nao o viu ,1,1,,,1,,,,1,,,,,,
4,fronted focus,sabe ,0.25,0,,0.25,,,,0,,,,,,,
5,fronted focus,se sabe ,0.4,0,,,0.4,,,,0,,,,,,
5,operator adverb,raramente ,0.2,0,,,0.2,,,,0,,,,,,
5,default,o joao ve me raramente ,1,1,,,1,,,,1,,,,,,
5,negation,penso ,0.2,0,,,0.2,,,,0,,,,,,
5,default,nao ,0.2,0,,,0.2,,,,0,,,,,,
5,wh question,onde a encontrou o pedro ,1,1,,,1,,,,1,,,,,,
5,default,o pedro encontrou a onde ,1,1,,,1,,,,1,,,,,,
5,negation,possivel nao ,0.4,0,,,0.4,,,,0,,,,,,
5,operator adverb,as criancas ,0.4,0,,,0.4,,,,0,,,,,,
5,?,penso ,0.2,0,,,0.2,,,,0,,,,,,
5,default,possivel eles convidarem ,0.6,0,,,0.6,,,,0,,,,,,
5,relative clause,convidarem ,0.2,0,,,0.2,,,,0,,,,,,
5,downward quantifier,os rapazes me ajudaram ,0.8,0,,,0.8,,,,0,,,,,,
5,operator adverb,perguntaram ,0.2,0,,,0.2,,,,0,,,,,,
5,default,os alunos telefonaram lhe ,0.8,0,,,0.8,,,,0,,,,,,
5,fronted focus,este livro ,0.4,0,,,0.4,,,,0,,,,,,
6,fronted focus,de este livro ,0.5,0,,,,0.5,,,,0,,,,,
6,default,o paulo deu me um ,0.8333333333,0,,,,0.8333333333,,,,0,,,,,
6,default,um livro ,0.3333333333,0,,,,0.3333333333,,,,0,,,,,
6,relative clause,que ele o encontrara ,0.6666666667,0,,,,0.6666666667,,,,0,,,,,
6,fronted focus,de este livro ,0.5,0,,,,0.5,,,,0,,,,,
6,relative clause,vieram ,0.1666666667,0,,,,0.1666666667,,,,0,,,,,
6,relative clause,vieram ,0.1666666667,0,,,,0.1666666667,,,,0,,,,,
6,fronted focus,estas flores ,0.3333333333,0,,,,0.3333333333,,,,0,,,,,
6,wh question,deu o pedro ,0.5,0,,,,0.5,,,,0,,,,,
,,,,,,,,,,,,,,,,,
,,,0.6929824561,0.4912280702,,,,,,,,,,,,,
,,,0.3357789358,0.5043668951,,,,,,,,,,,,,
